Name,Country,Region,Category,Description,Website,Year_Founded,Funding_Status,Platform
mDoc,Nigeria,West Africa,Digital Health Coaching,"Digital health coaching platform providing personalized care for chronic conditions affecting women including diabetes, hypertension and maternal health support.",https://www.mdoc.ng,2020,Funded,Mobile App / Web
Flerie Health,South Africa,Southern Africa,Women's Wellness,"Women's wellness platform offering health products and educational content focused on reproductive and general women's health in the South African market.",,,Not Disclosed,Web / E-commerce
Calla Health,Egypt,North Africa,Women's Health,"Women's health technology platform addressing reproductive health, period tracking and wellness education for women in Egypt and the broader MENA region.",,,Not Disclosed,Mobile App
Medikea,Democratic Republic of Congo,Central Africa,Women's Health Platform,"Digital health platform connecting women in the DRC to healthcare providers, maternal health resources and reproductive health information.",,,Not Disclosed,Mobile App / Web
CareClick,Nigeria,West Africa,Healthcare / Women's Health,"On-demand healthcare platform providing doctor consultations, lab tests and pharmacy services with dedicated women's health packages.",https://www.careclick.co,2019,Funded,Mobile App
MDaaS Global,Nigeria,West Africa,Diagnostics & Women's Health,"Network of affordable diagnostic centers providing radiology, pathology and women's health screening services including cervical cancer and breast cancer screenings.",https://www.mdaasglobal.com,2016,Funded,Clinics / Diagnostics
mPharma,Ghana,West Africa,Pharmacy & Women's Health Products,"Pharmacy benefits management platform managing prescription drug inventory and making medications (including contraceptives and maternal health drugs) more affordable.",https://www.mpharma.com,2013,Funded (Series D),Pharmacy Network / App
Kangpe,Nigeria,West Africa,Telehealth Consultations,"Telehealth platform enabling patients to consult doctors via their phones, including women's health consultations on reproductive and maternal issues.",https://www.kangpe.com,2015,Funded,Mobile App / SMS
Sisu Global Health,Kenya / Global,East Africa,Maternal Health Devices,"Develops affordable medical devices for birth including the Hemafuse autotransfusion device that recycles a patient's own blood during surgery to combat postpartum hemorrhage.",https://www.sisuglobal.health,2015,Funded,Medical Device
SafeDelivery,Tanzania / East Africa,East Africa,Maternal Health Training,"Mobile app providing emergency obstetric and neonatal care training for birth attendants and midwives in low-resource settings across East Africa.",,,Grant-funded,Mobile App (Training)
Maternova,Pan-African,Multiple,Maternal Health Innovation,"Marketplace and accelerator for maternal and newborn health innovations, connecting African health innovators with global markets and resources.",https://www.maternova.net,2010,Grant-funded,Marketplace / Web
NalaHealth,Ethiopia,East Africa,Women's Health & Wellness,"Digital health platform providing personalized women's health information, period tracking and wellness resources for Ethiopian women.",,,Not Disclosed,Mobile App
Femhealth Africa,Pan-African,Multiple,Femtech Ecosystem,"Pan-African platform supporting the femtech ecosystem through research, community building, investment facilitation and advocacy for women's health innovation.",https://www.femhealthafrica.com,2022,Not Disclosed,Web / Community
